0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:54 +0800] "GET /kncoffee_project/porder/photo/%E5%B7%B4%E8%A5%BF%20%E6%91%A9%E5%90%89%E5%AE%89%E5%A8%9C.jpg HTTP/1.1" 200 1384999
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:54 +0800] "GET /kncoffee_project/porder/photo/%E8%80%B6%E5%8A%A0%E9%9B%AA%E9%9D%9E%E6%97%A5%E6%9B%AC.jpg HTTP/1.1" 200 1357708
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:54 +0800] "GET /kncoffee_project/porder/photo/%E5%A4%A9%E5%A0%82%E9%B3%A5.jpg HTTP/1.1" 200 1431843
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:58 +0800] "POST /kncoffee_project/porder/confirm.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:59 +0800] "GET /kncoffee_project/porder/addPorderController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:59 +0800] "GET /kncoffee_project/porder/finish.jsp HTTP/1.1" 200 4218
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:06 +0800] "GET /kncoffee_project/porder/finish.jsp HTTP/1.1" 500 2770
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:12 +0800] "POST /kncoffee_project/porder/logoutController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:12 +0800] "GET /kncoffee_project/customer/login.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:12 +0800] "GET /kncoffee_project/customer/js/bootstrap.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:12 +0800] "GET /kncoffee_project/customer/js/jquery-3.4.1.js HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:16 +0800] "GET /kncoffee_project/customer/login.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:16 +0800] "GET /kncoffee_project/customer/js/jquery-3.4.1.js HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:16 +0800] "GET /kncoffee_project/customer/js/bootstrap.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:22 +0800] "POST /kncoffee_project/customer/loginController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:22 +0800] "GET /kncoffee_project/customer/loginSuccess.jsp HTTP/1.1" 200 4841
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:23 +0800] "GET /kncoffee_project/porder/porder.jsp HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:24 +0800] "GET /kncoffee_project/porder/addPorder.jsp HTTP/1.1" 200 6253
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:27 +0800] "GET /kncoffee_project/porder/porder.jsp HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:28 +0800] "GET /kncoffee_project/porder/addPorder.jsp HTTP/1.1" 200 6253
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:31 +0800] "POST /kncoffee_project/porder/confirm.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:33 +0800] "GET /kncoffee_project/porder/addPorderController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:50:33 +0800] "GET /kncoffee_project/porder/finish.jsp HTTP/1.1" 200 4218
